plotID,timestamp,datetime,P_RT_NRT,P_RT_NRT_01,P_RT_NRT_02,rH_200,Ta_200,Ta_200_max,Ta_200_min
AEG03,59961600,2014-01-01T00:00,NA,NA,NA,96.27,1.13,11.40,-5.39
AEG03,60006240,2014-02-01T00:00,NA,NA,NA,86.15,2.14,10.85,-3.29
AEG03,60046560,2014-03-01T00:00,NA,NA,NA,70.75,6.04,18.30,-3.22
AEG03,60091200,2014-04-01T00:00,NA,NA,NA,74.42,9.23,19.96,-2.58
AEG03,60134400,2014-05-01T00:00,NA,NA,NA,79.68,10.50,25.00,1.59
AEG03,60179040,2014-06-01T00:00,NA,NA,NA,69.36,15.46,31.32,4.74
AEG03,60222240,2014-07-01T00:00,NA,NA,NA,83.16,16.53,30.04,6.24
AEG03,60266880,2014-08-01T00:00,NA,NA,NA,89.08,13.87,24.46,4.99
AEG03,60311520,2014-09-01T00:00,NA,NA,NA,93.74,13.00,23.37,2.00
AEG03,60354720,2014-10-01T00:00,NA,NA,NA,95.13,10.45,22.08,1.76
AEG03,60399360,2014-11-01T00:00,NA,NA,NA,96.02,4.76,17.79,-1.65
AEG03,60442560,2014-12-01T00:00,NA,NA,NA,94.56,0.67,12.20,-14.59
AEG03,60487200,2015-01-01T00:00,NA,NA,NA,91.63,-0.25,11.84,-6.21
AEG03,60531840,2015-02-01T00:00,NA,NA,NA,91.35,-2.54,10.26,-10.81
AEG03,60572160,2015-03-01T00:00,NA,NA,NA,75.00,3.87,15.92,-3.86
AEG03,60616800,2015-04-01T00:00,NA,NA,NA,64.57,7.67,21.78,-3.65
AEG03,60660000,2015-05-01T00:00,NA,NA,NA,78.62,11.52,25.18,2.68
AEG03,60704640,2015-06-01T00:00,NA,NA,NA,80.39,15.17,28.39,5.81
AEG03,60747840,2015-07-01T00:00,NA,NA,NA,66.03,19.40,32.44,6.23
AEG03,60792480,2015-08-01T00:00,NA,NA,NA,73.61,18.69,32.58,8.15
AEG03,60837120,2015-09-01T00:00,NA,NA,NA,84.14,10.95,23.55,2.36
AEG03,60880320,2015-10-01T00:00,NA,NA,NA,94.78,6.75,18.98,-0.95
AEG03,60924960,2015-11-01T00:00,NA,NA,NA,84.62,6.01,17.58,-8.22
AEG03,60968160,2015-12-01T00:00,NA,NA,NA,91.85,4.18,13.43,-4.46
AEG04,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG04,57376800,2009-02-01T00:00,NA,NA,NA,87.58,-1.88,9.28,-21.35
AEG04,57417120,2009-03-01T00:00,NA,NA,NA,84.48,1.61,10.88,-9.58
AEG04,57461760,2009-04-01T00:00,NA,NA,NA,73.76,9.31,21.77,-2.62
AEG04,57504960,2009-05-01T00:00,NA,NA,NA,80.51,12.55,28.37,-3.94
