Explo;EP_Plotid;initial_landuse_type;2006;2007;2008;2009;2010;2011;2012;new_landuse_type;notes
HAI;HEG38;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;
HAI;HEG39;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;
HAI;HEG40;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;
HAI;HEG41;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG42;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG43;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG44;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG45;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG46;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
HAI;HEG47;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;
HAI;HEG48;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Meadow_unfertilised;Pasture_cattle_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;Mown pasture_sheep_unfertilised;
